"","clave_mun","AREAM","NOM_AREAM"
"1",9009,"01","CIUDAD DE MEXICO"
"2",9002,"01","CIUDAD DE MEXICO"
"3",9004,"01","CIUDAD DE MEXICO"
"4",9016,"01","CIUDAD DE MEXICO"
"5",9010,"01","CIUDAD DE MEXICO"
"6",9005,"01","CIUDAD DE MEXICO"
"7",9008,"01","CIUDAD DE MEXICO"
"8",9007,"01","CIUDAD DE MEXICO"
"9",9014,"01","CIUDAD DE MEXICO"
"10",9011,"01","CIUDAD DE MEXICO"
"11",9015,"01","CIUDAD DE MEXICO"
"12",9003,"01","CIUDAD DE MEXICO"
"13",9006,"01","CIUDAD DE MEXICO"
"14",9013,"01","CIUDAD DE MEXICO"
"15",15024,"01","CIUDAD DE MEXICO"
"16",15025,"01","CIUDAD DE MEXICO"
"17",15029,"01","CIUDAD DE MEXICO"
"18",15030,"01","CIUDAD DE MEXICO"
"19",15031,"01","CIUDAD DE MEXICO"
"20",15013,"01","CIUDAD DE MEXICO"
"21",15020,"01","CIUDAD DE MEXICO"
"22",9012,"01","CIUDAD DE MEXICO"
"23",15058,"01","CIUDAD DE MEXICO"
"24",15002,"01","CIUDAD DE MEXICO"
"25",15011,"01","CIUDAD DE MEXICO"
"26",15023,"01","CIUDAD DE MEXICO"
"27",9017,"01","CIUDAD DE MEXICO"
"28",15033,"01","CIUDAD DE MEXICO"
"29",15121,"01","CIUDAD DE MEXICO"
"30",15122,"01","CIUDAD DE MEXICO"
"31",15081,"01","CIUDAD DE MEXICO"
"32",15092,"01","CIUDAD DE MEXICO"
"33",15099,"01","CIUDAD DE MEXICO"
"34",15100,"01","CIUDAD DE MEXICO"
"35",15104,"01","CIUDAD DE MEXICO"
"36",15037,"01","CIUDAD DE MEXICO"
"37",15039,"01","CIUDAD DE MEXICO"
"38",15044,"01","CIUDAD DE MEXICO"
"39",15053,"01","CIUDAD DE MEXICO"
"40",15060,"01","CIUDAD DE MEXICO"
"41",15057,"01","CIUDAD DE MEXICO"
"42",15070,"01","CIUDAD DE MEXICO"
"43",15120,"01","CIUDAD DE MEXICO"
"44",15109,"01","CIUDAD DE MEXICO"
"45",15108,"01","CIUDAD DE MEXICO"
"46",14039,"02","GUADALAJARA"
"47",14101,"02","GUADALAJARA"
"48",14120,"02","GUADALAJARA"
"49",14070,"02","GUADALAJARA"
"50",14098,"02","GUADALAJARA"
"51",14097,"02","GUADALAJARA"
"52",19026,"03","MONTERREY"
"53",19039,"03","MONTERREY"
"54",19031,"03","MONTERREY"
"55",19006,"03","MONTERREY"
"56",19046,"03","MONTERREY"
"57",19048,"03","MONTERREY"
"58",19049,"03","MONTERREY"
"59",19021,"03","MONTERREY"
"60",19018,"03","MONTERREY"
